_id,Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,latitude,longitude,Latitude,Longitude
67b8ead2913465c1e1789582,Modelagem preditiva,livros,92.45,5.6096965236,2020-01-01,Thiago Silva,BA,1,cartao_credito,3,-13.29,-41.71,,
67b8ead2913465c1e1789583,Iniciando em programação,livros,43.84,0.0,2020-01-01,Mariana Ferreira,SP,5,cartao_credito,1,-22.19,-48.79,,
67b8ead2913465c1e1789595,Iniciando em programação,livros,63.25,3.894137208,2022-01-01,Juliana Costa,RJ,5,cartao_credito,4,-22.25,-42.66,,
67b8ead2913465c1e17895a3,Ciência de dados com python,livros,86.13,5.2731755368,2021-02-01,Camila Ribeiro,RJ,4,cartao_credito,3,-22.25,-42.66,,
67b8ead2913465c1e17895a5,Ciência de dados com python,livros,72.75,1.458157705,2021-02-01,Beatriz Moraes,PR,4,cartao_credito,2,-24.89,-51.55,,
67b8ead2913465c1e17895a8,Iniciando em programação,livros,61.73,0.0,2021-02-01,Beatriz Moraes,SP,4,cartao_credito,1,-22.19,-48.79,,
67b8ead2913465c1e17895ab,Dashboards com Power BI,livros,57.63,9.3105595123,2022-02-01,Bianca Santos,SP,3,cartao_credito,1,-22.19,-48.79,,
67b8ead2913465c1e17895af,Ciência de dados com python,livros,79.28,1.8058605601,2022-02-01,Lucas Oliveira,SP,5,cartao_credito,1,-22.19,-48.79,,
67b8ead2913465c1e17895b3,Dashboards com Power BI,livros,41.76,2.7546988942,2022-02-01,Juliana Costa,SP,5,cartao_credito,1,-22.19,-48.79,,
67b8ead2913465c1e17895b4,Ciência de dados com python,livros,82.15,1.958679426,2023-02-01,Bianca Santos,SP,5,cartao_credito,2,-22.19,-48.79,,
67b8ead2913465c1e17895bb,Modelagem preditiva,livros,70.49,1.337819504,2023-02-01,Isabella Pereira,PE,4,cupom,1,-8.38,-37.86,,
67b8ead2913465c1e17895bc,Dashboards com Power BI,livros,40.98,0.0,2023-02-01,Beatriz Moraes,RJ,5,cartao_credito,1,-22.25,-42.66,,
67b8ead2913465c1e17895d5,Ciência de dados com python,livros,50.51,10.2450858314,2022-03-01,Thiago Silva,MG,1,cartao_credito,6,-18.1,-44.38,,
67b8ead2913465c1e17895d9,Modelagem preditiva,livros,71.64,1.3990535443,2023-03-01,Mariana Ferreira,SP,4,cartao_credito,2,-22.19,-48.79,,
67b8ead2913465c1e17895db,Dashboards com Power BI,livros,43.35,3.2481049178,2023-03-01,Rafael Costa,BA,5,cartao_credito,2,-13.29,-41.71,,
67b8ead2913465c1e17895df,Iniciando em programação,livros,65.86,4.4466946987,2020-04-01,Rafael Costa,SP,5,cartao_credito,4,-22.19,-48.79,,
67b8ead2913465c1e17895eb,Iniciando em programação,livros,83.18,5.1160969115,2021-04-01,Isabella Pereira,SP,3,cartao_credito,4,-22.19,-48.79,,
67b8ead2913465c1e17895ed,Dashboards com Power BI,livros,40.85,0.0,2021-04-01,Mariana Ferreira,SP,5,cartao_credito,1,-22.19,-48.79,,
67b8ead2913465c1e17895f3,Ciência de dados com python,livros,75.04,1.5800933158,2022-04-01,Bianca Santos,RO,2,cartao_credito,7,-10.83,-63.34,,
67b8ead2913465c1e1789600,Ciência de dados com python,livros,58.61,4.0606540096,2021-05-01,Beatriz Moraes,PR,4,cartao_credito,1,-24.89,-51.55,,
67b8ead2913465c1e178960c,Dashboards com Power BI,livros,46.58,0.0,2020-06-01,Rafael Costa,PR,1,cartao_credito,4,-24.89,-51.55,,
67b8ead2913465c1e178960e,Dashboards com Power BI,livros,42.09,0.0,2020-06-01,Felipe Santos,SP,5,cartao_credito,8,-22.19,-48.79,,
67b8ead2913465c1e1789613,Dashboards com Power BI,livros,55.44,3.6390253647,2021-06-01,Camila Ribeiro,SP,3,cartao_credito,10,-22.19,-48.79,,
67b8ead2913465c1e178962c,Dashboards com Power BI,livros,46.87,0.0,2021-07-01,Beatriz Moraes,RS,5,cartao_credito,8,-30.17,-53.5,,
67b8ead2913465c1e1789635,Iniciando em programação,livros,56.9,3.560858347,2021-07-01,Mariana Ferreira,SP,4,boleto,1,-22.19,-48.79,,
67b8ead2913465c1e178963e,Modelagem preditiva,livros,105.99,3.2280877057,2022-07-01,Thiago Silva,SP,1,cartao_credito,4,-22.19,-48.79,,
67b8ead2913465c1e1789646,Iniciando em programação,livros,55.86,6.1381932733,2020-08-01,Pedro Gomes,CE,3,cartao_credito,9,-5.2,-39.53,,
67b8ead2913465c1e1789653,Modelagem preditiva,livros,101.54,14.5010858917,2021-08-01,Rafael Costa,DF,3,cartao_credito,4,-15.83,-47.86,,
67b8ead2913465c1e1789658,Iniciando em programação,livros,41.11,0.0,2022-08-01,Thiago Silva,ES,1,cartao_credito,1,-19.19,-40.34,,
67b8ead2913465c1e1789685,Ciência de dados com python,livros,80.32,1.8612374314,2021-10-01,Rafael Costa,SP,4,cartao_credito,2,-22.19,-48.79,,
67b8ead2913465c1e1789691,Ciência de dados com python,livros,88.2,4.9795105675,2022-10-01,Rafael Costa,SP,5,cartao_credito,4,-22.19,-48.79,,
67b8ead2913465c1e1789693,Dashboards com Power BI,livros,54.59,3.18987918,2022-10-01,Juliana Costa,SP,3,cartao_credito,8,-22.19,-48.79,,
67b8ead2913465c1e1789696,Iniciando em programação,livros,64.22,4.3079369753,2020-11-01,Thiago Silva,CE,1,boleto,1,-5.2,-39.53,,
67b8ead2913465c1e1789699,Iniciando em programação,livros,40.74,0.0,2020-11-01,Felipe Santos,SP,5,cartao_credito,8,-22.19,-48.79,,
67b8ead2913465c1e178969a,Iniciando em programação,livros,46.79,0.0,2020-11-01,Rafael Costa,SP,4,cartao_credito,2,-22.19,-48.79,,
